企業名,法人番号,新卒フラグ,掲載媒体,掲載媒体数,採用予定人数,取得日,採用ページ有無,採用ページURL,新卒言及,職種,外部採用媒体,根拠
株式会社イボキン,1140001038603,○,,0,,2026-06-14,○,https://www.ibokin.co.jp/recruit/infomation/career/,○,営業/事務/施工管理,,top-anchor
株式会社モロオ,1430001017032,,,0,,2026-06-14,○,https://recruit.moroo.co.jp/news/career-msls/,,,recruit.moroo.co.jp,external-only
株式会社東海近畿クボタ,1140001041037,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社レボインターナショナル,1130001012055,,,0,,2026-06-14,,,,,,
ダイニック株式会社,1130001001198,,,0,,2026-06-14,,,,,,top-fetch-failed
シライ電子工業株式会社,1130001001041,○,,0,,2026-06-14,○,https://www.shiraidenshi.co.jp/homepage/recruit/index.html,○,介護,,top-anchor
株式会社キャリアパワー,1130001014217,,,0,,2026-06-14,,,,,,
内外エンジニアリング株式会社,1130001011313,○,,0,,2026-06-14,○,https://www.naigai-eng.co.jp/recruit/,○,エンジニア/コンサル,,top-anchor
株式会社エージェンシーアシスト,1130001013945,○,,0,,2026-06-14,○,https://www.agency-assist.co.jp/recruit/career-form/,○,営業,instagram.com,top-anchor
株式会社共栄薬研,1130001017005,,,0,,2026-06-14,,,,,,
オムロン株式会社,1130001016824,,,0,,2026-06-14,,,,,,top-fetch-failed
光和管財株式会社,1140001007599,,,0,,2026-06-14,○,https://kowa-kanzai-recruit.jp/,,,kowa-kanzai-recruit.jp,external-only
株式会社京進,1130001017021,○,,0,,2026-06-14,○,https://group.kyoshin.co.jp/recruit/,○,介護,kyoshin.co.jp/instagram.com/kla.ac,top-anchor
株式会社エース,1130001016650,,,0,,2026-06-14,,,,,,top-fetch-failed
トヨタカローラ京都株式会社,1130001021849,,,0,,2026-06-14,,,,,,
ナカライテスク株式会社,1130001021948,,,0,,2026-06-14,,,,,,
株式会社ダイワ・セキュリティー・システム,1130001025528,,,0,,2026-06-14,,,,,,
日本ニューロン株式会社,1130001037333,,,0,,2026-06-14,,,,,,
株式会社ワコールキャリアサービス,1130001019323,○,,0,,2026-06-14,○,https://www.e-wacs.co.jp/about/recruit/,○,営業/企画/販売/コンサル,jobsearch.e-wacs.co.jp,top-anchor
西武緑化管理株式会社,1012701000524,,,0,,2026-06-14,,,,,,
埼玉トヨペット株式会社,1030001003329,,,0,,2026-06-14,,,,,,
太陽管財株式会社,1030001005250,,,0,,2026-06-14,,,,,,
星和電機株式会社,1130001038463,○,,0,,2026-06-14,○,https://www.seiwa.co.jp/recruit/,○,営業,recruit.seiwa.co.jp,top-anchor
株式会社ハイデイ日高,1030001006892,,,0,,2026-06-14,,,,,,
株式会社丸電,1030001008006,,,0,,2026-06-14,,,,,,
株式会社むさしビルクリーナー,1030001008261,,,0,,2026-06-14,,,,,,
ジャパンフィールド株式会社,1140001028777,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社エクス・アドメディア,1030001014086,,,0,,2026-06-14,,,,,,
株式会社オプトエレクトロニクス,1030001020927,,,0,,2026-06-14,,,,,,
株式会社アールキューブ,1030001027922,,,0,,2026-06-14,,,,,,
埼玉西ヤクルト販売株式会社,1030001026924,,,0,,2026-06-14,,,,,,
株式会社アイチコーポレーション,1030001042723,,,0,,2026-06-14,,,,,,
ニッポンレンタカー北関東株式会社,1030001044141,,,0,,2026-06-14,,,,,,
株式会社島忠,1030001004269,○,,0,,2026-06-14,○,https://www.shimachu.co.jp/corporate/recruit/,○,販売,,top-anchor
新報国マテリアル株式会社,1030001054909,,,0,,2026-06-14,,,,,,
株式会社オプトラン,1030001056764,,,0,,2026-06-14,,,,,,
アイ・エム・アイ株式会社,1030001063447,,,0,,2026-06-14,,,,,,
株式会社パレスエンタープライズ,1030001006950,,,0,,2026-06-14,○,https://www.palace-omiya.co.jp/company/recruit.html,,,,top-anchor
ユー・エム・シー・エレクトロニクス株式会社,1030001044117,○,,0,,2026-06-14,○,https://www.umc.co.jp/modules/contents/recruit.html,○,販売,,top-anchor
株式会社銚子丸,1040001001199,,,0,,2026-06-14,,,,,,
旭産業株式会社,1030001060114,○,,0,,2026-06-14,○,https://www.asahi-sangyo.biz/recruit/mid-career-recruitment/,○,,,top-anchor
株式会社イハシエネルギー,1030001063604,,,0,,2026-06-14,○,https://ihashi-hd.net/recruit,,介護/販売,recruit-ihashi-hd.net,top-anchor
株式会社エイシル,1040001009432,,,0,,2026-06-14,,,,,,
オネスティオフィスサポート株式会社,1040001011735,,,0,,2026-06-14,,,,,,
株式会社堀場製作所,1130001011676,,,0,,2026-06-14,,,,,,no-recruit-link
興栄燃料株式会社,1040001002206,,,0,,2026-06-14,○,https://www.koei-e.jp/recruit/,,営業/販売,koei-e.jp,common-path
任天堂株式会社,1130001011420,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社丸長青果,1040001036988,,,0,,2026-06-14,,,,,,
ＡＬＳＯＫ千葉株式会社,1040001008244,,,0,,2026-06-14,○,http://www.alsok-chiso.co.jp/recruit.html,,営業/事務,,top-anchor
船橋興産株式会社,1040001019365,○,,0,,2026-06-14,○,https://funabashikousan.co.jp/recruit/midcareer.php,○,営業,,top-anchor
株式会社ジェス,1040001042929,,,0,,2026-06-14,,,,,,
株式会社アイム,1040001042689,,,0,,2026-06-14,,,,,,
株式会社ＰＣＥＲ,1040001041971,,,0,,2026-06-14,,,,,,
株式会社シー・エス・ランバー,1040001057646,,,0,,2026-06-14,,,,,,
鈴木建設株式会社,1040001061846,,,0,,2026-06-14,,,,,,
千葉テレビ放送株式会社,1040001004838,,,0,,2026-06-14,○,https://www.chiba-tv.com/program/detail/1139,,,,top-anchor
佐々木化学薬品株式会社,1130001012716,,,0,,2026-06-14,,,,,,no-recruit-link
王子エンジニアリング株式会社,1010001039770,,,0,,2026-06-14,,,,,,
日本サービス株式会社,1040001036451,,,0,,2026-06-14,○,https://www.ns-k.co.jp/recruit.html,,施工管理,,top-anchor
ザインエレクトロニクス株式会社,1010001044837,,,0,,2026-06-14,,,,,,
株式会社ＮＴＴデータ・エム・シー・エス,1040001036848,○,,0,,2026-06-14,○,https://www.mcserve.co.jp/recruit/,○,エンジニア/営業/企画/販売,,top-anchor
イケア・ジャパン株式会社,1040001021866,,,0,,2026-06-14,○,https://www.ikea.com/jp/ja/this-is-ikea/work-with-us/?itm_campaign=work-with-ikea&itm_element=Identity&itm_content=Brand,,営業,,top-anchor
日本紙通商株式会社,1010001045983,,,0,,2026-06-14,○,https://www.np-t.co.jp/recruit/,,企画,,top-anchor
第一高周波工業株式会社,1010001048722,○,,0,,2026-06-14,○,https://dhf.co.jp/recruit/,○,,,common-path
東レプラスチック精工株式会社,1010001051932,,,0,,2026-06-14,,,,,,
株式会社アイガー,1010001035258,○,,0,,2026-06-14,○,https://field.ne.jp/recruit/,○,,,top-anchor
イシグロ株式会社,1010001036925,○,,0,,2026-06-14,○,https://www.ishiguro-recruit.jp/,○,営業/事務,ishiguro-recruit.jp,common-path
高橋カーテンウォール工業株式会社,1010001049480,○,,0,,2026-06-14,○,https://t-cw.co.jp/entry/company/,○,事務/マーケティング,,top-anchor
株式会社ビッグアビリティ,1010001055157,,,0,,2026-06-14,,,,,,
株式会社東洋経済新報社,1010001051874,,,0,,2026-06-14,○,https://toyokeizai.net/list/genre/career-and-education,,企画/マーケティング,recruit.toyokeizai.net,top-anchor
株式会社東証コンピュータシステム,1010001051437,○,,0,,2026-06-14,○,https://www.tcs.co.jp/recruit/new/,○,営業/総合職/技術職/介護,,top-anchor
丸三証券株式会社,1010001057236,,,0,,2026-06-14,,,,,,
株式会社東京エコール,1010001059174,,,0,,2026-06-14,,,,,,
東洋熱工業株式会社,1010001051916,○,,0,,2026-06-14,○,https://www.tonets.co.jp/recruit/tabid/222/Default.aspx,○,営業/総合職/事務/施工管理,,top-anchor
西川株式会社,1010001053631,○,,0,,2026-06-14,○,https://www.nishikawa1566.com/company/recruit/,○,事務/販売,,top-anchor
株式会社廣瀬商会,1010001054927,,,0,,2026-06-14,○,https://www.hiroseshokai.co.jp/recruit/index.html,,,,top-anchor
日本検査キューエイ株式会社,1010001062013,,,0,,2026-06-14,,,,,,
株式会社ヨネイ,1010001060074,○,,0,,2026-06-14,○,https://www.yonei.co.jp/recruit/entry.html,○,営業,,top-anchor
東京貿易テクノシステム株式会社,1010001061642,,,0,,2026-06-14,○,https://www.tbts.co.jp/recruit/,,エンジニア/販売,,top-anchor
株式会社アヴァンティスタッフ,1010001061972,○,,0,,2026-06-14,○,https://www.avantistaff.com/recruit/,○,営業/総合職,,top-anchor
株式会社ジェイック,1010001066022,,,0,,2026-06-14,,,,,,
株式会社日本デザインセンター,1010001062302,○,,0,,2026-06-14,○,https://www.ndc.co.jp/recruit/,○,デザイナー,,top-anchor
株式会社第一ビルデイング,1010001065445,○,,0,,2026-06-14,○,https://www.dai-ichi-building.co.jp/recruit,○,,,top-anchor
グローブシップ総合管理株式会社,1010001062434,○,,0,,2026-06-14,○,https://www.gs-tm.jp/recruit/,○,,,top-anchor
いちご株式会社,1010001068118,○,,0,,2026-06-14,○,https://www.ichigo.gr.jp/recruit/career/,○,販売,,top-anchor
株式会社パソナ,1010001067359,,,0,,2026-06-14,○,https://www.pasona.co.jp/xtech-jobsearch/,,エンジニア/営業/企画/デザイナー/マーケティング,pasonaelpis.my.site.com/pasonagroup.co.jp,top-anchor
株式会社イーブックイニシアティブジャパン（閉鎖）,1010001069108,,,0,,2026-06-14,,,,,,
株式会社ＩＤＯＭ,1010001069520,,,0,,2026-06-14,,,,,,
株式会社一六堂,1010001065395,,,0,,2026-06-14,○,https://www.ichirokudo.com/recruit,,,,top-anchor
株式会社フェローテック,1010001075980,,,0,,2026-06-14,,,,,,
株式会社ＮＴＴドコモ,1010001067912,○,,0,,2026-06-14,○,https://www.docomo.ne.jp/corporate/recruit/?icid=CRP_menu_to_CRP_CORP_recruit,○,,nba.docomo.ne.jp,top-anchor
日本設備管理株式会社,1040001066176,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社プロシップ,1010001073852,○,,0,,2026-06-14,○,https://www.proship.co.jp/contact/form-recruit/,○,,,top-anchor
株式会社アイ・ラーニング,1010001081896,,,0,,2026-06-14,,,,,,
フロンティアコンストラクション＆パートナーズ株式会社,1010001083026,,,0,,2026-06-14,,,,,,
商船三井テクノトレード株式会社,1010001074512,○,,0,,2026-06-14,○,https://www.motech.co.jp/recruit/,○,営業/事務/企画/販売,job.mynavi.jp,top-anchor
株式会社ライトワークス,1010001084197,,,0,,2026-06-14,,,,,,
株式会社トレードワークス,1010001085245,,,0,,2026-06-14,,,,,,
株式会社ＫＰＭＧ　ＦＡＳ,1010001075808,,,0,,2026-06-14,○,https://kpmg.com/jp/ja/careers/fas/year-round-recruitment.html,,事務/コンサル,marr.jp/recruit.kpmg-fas.jp,top-anchor
株式会社ＲＤサポート,1010001078018,○,,0,,2026-06-14,○,https://www.rdsupport.co.jp/recruit/,○,営業/マーケティング/コンサル,rdsupport-tenshoku.jp,top-anchor
日新興業株式会社,1120001057571,,,0,,2026-06-14,,,,,,
レオス・キャピタルワークス株式会社,1010001082655,○,,0,,2026-06-14,○,https://www.rheos.jp/recruit/,○,看護/販売,,top-anchor
東洋炭素株式会社,1120001050238,,,0,,2026-06-14,○,https://www.toyotanso.co.jp/Recruit/,,営業/総合職,job.mynavi.jp,top-anchor
日本インターシステムズ株式会社,1120001059320,,,0,,2026-06-14,,,,,,
エイチ・ツー・オーリテイリング株式会社,1120001059683,,,0,,2026-06-14,,,,,,
株式会社アイビックス関西,1120001059857,,,0,,2026-06-14,,,,,,
株式会社公文教育研究会,1120001054949,○,,0,,2026-06-14,○,https://www.kumon.ne.jp/job/recruitment/info.html,○,介護/マーケティング/コンサル,axol.jp/tenshoku.mynavi.jp,top-anchor
スミセイ情報システム株式会社,1120001056193,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社ナンシン,1010001053053,,,0,,2026-06-14,,,,,,no-recruit-link
株式会社パソナジョイナス,1120001062472,,,0,,2026-06-14,,,,,,
積水ハウス不動産株式会社,1120001062571,,,0,,2026-06-14,,,,,,
株式会社きんでん,1120001063033,,,0,,2026-06-14,,,,,,
大成機工株式会社,1120001066556,,,0,,2026-06-14,,,,,,
東洋紡エンジニアリング株式会社,1120001067827,,,0,,2026-06-14,,,,,,
積水化学工業株式会社,1120001059650,○,,0,,2026-06-14,○,https://www.sekisui.co.jp/person/,○,営業,,top-anchor
阪神千代田株式会社,1120001069253,,,0,,2026-06-14,,,,,,
株式会社ＣＹＬＬＥＮＧＥ,1120001070120,,,0,,2026-06-14,,,,,,
西日本旅客鉄道株式会社,1120001059675,,,0,,2026-06-14,○,https://www.westjr.co.jp/company/recruit/,,,,top-anchor
小泉産業株式会社,1120001077413,,,0,,2026-06-14,,,,,,
井澤金属株式会社,1120001077347,,,0,,2026-06-14,,,,,,
株式会社関西アーバン銀行（閉鎖）,1120001076365,,,0,,2026-06-14,,,,,,
朝日建物管理株式会社,1120001060014,○,,0,,2026-06-14,○,https://www.asahitatemonokanri.co.jp/recruit/,○,営業/総合職/技術職,,top-anchor
ミツワ電機株式会社,1010001058408,,,0,,2026-06-14,○,https://www.mitsuwadenki-recruit.com/,,,mitsuwadenki-recruit.com,external-only
株式会社リヒトラブ,1120001077594,,,0,,2026-06-14,,,,,,
ランスタッド株式会社,1010001084148,○,,0,,2026-06-14,○,https://www.randstad.co.jp/recruit/career/,○,エンジニア/事務/企画/マーケティング/コンサル,services.randstad.co.jp,top-anchor
株式会社魚国総本社,1120001074930,○,,0,,2026-06-14,○,https://www.uokuni-s.co.jp/recruit/,○,総合職/企画,,top-anchor
株式会社コーユービジネス,1120001079599,,,0,,2026-06-14,,,,,,
シキボウリネン株式会社,1120001080945,,,0,,2026-06-14,,,,,,
株式会社出版文化社,1120001081431,,,0,,2026-06-14,,,,,,
株式会社ジェイエスエス,1120001064799,○,,0,,2026-06-14,○,https://www.jss-group.co.jp/recruit,○,,,top-anchor
清和肥料工業株式会社,1120001082578,,,0,,2026-06-14,,,,,,
株式会社イムラ,1120001074740,,,0,,2026-06-14,○,https://www.imura.co.jp/careers/,,営業/総合職/企画/販売,,top-anchor
株式会社タクミナ,1120001083948,,,0,,2026-06-14,,,,,,
キンセイマテック株式会社,1120001078320,,,0,,2026-06-14,○,https://www.kinseimatec.co.jp/recruit/,,エンジニア,,top-anchor
株式会社パルグループホールディングス,1120001087503,,,0,,2026-06-14,,,,,,
株式会社バルニバービ,1120001087528,,,0,,2026-06-14,,,,,,
イオンディライト株式会社,1120001081381,,,0,,2026-06-14,○,https://www.aeondelight.co.jp/jobs/,,営業/企画,aeondelight-recruit.net,top-anchor
株式会社サイネックス,1120001079723,○,,0,,2026-06-14,○,https://www.scinex.co.jp/recruitment/new-graduate/,○,,,top-anchor
株式会社コノエ,1120001079491,,,0,,2026-06-14,○,https://www.konoe.co.jp/recruit/,,販売,,top-anchor
東邦レオ株式会社,1120001085408,○,,0,,2026-06-14,○,https://www.toho-leo.co.jp/recruit/,○,,,top-anchor
株式会社チクマ,1120001084293,,,0,,2026-06-14,○,https://www.chikuma.co.jp/recruit/recruit.html,,,,top-anchor
株式会社日阪製作所,1120001087750,○,,0,,2026-06-14,○,https://www.hisaka.co.jp/recruiting/career.html,○,エンジニア/営業/介護/看護,,top-anchor
株式会社翻訳センター,1120001089458,,,0,,2026-06-14,○,https://www.honyakuctr.com/recruit/career/,,事務,,top-anchor
株式会社ワークステーション,1120001092585,,,0,,2026-06-14,,,,,,
株式会社フュートレック（閉鎖）,1120001095092,,,0,,2026-06-14,,,,,,
株式会社マンダム,1120001090234,○,,0,,2026-06-14,○,https://www.mandom.co.jp/careers/new.html,○,デザイナー,,top-anchor
株式会社ウィル・インターナショナル,1120001094367,,,0,,2026-06-14,,,,,,
パーソルエクセルＨＲパートナーズ株式会社,1120001089788,,,0,,2026-06-14,○,https://persol-hrpartners.co.jp/haken/,,エンジニア/営業/事務/販売/マーケティング,denkiya-san.persol-hrpartners.co.jp/job.persol-factorypartners.co.jp/job-journey.persol-hrpartners.co.jp,top-anchor
株式会社タスクフォース,1120001098013,,,0,,2026-06-14,,,,,,
株式会社イオシス,1120001098434,,,0,,2026-06-14,,,,,,
ミズノスポーツサービス株式会社,1120001090341,,,0,,2026-06-14,,,,,,top-fetch-failed
株式会社中日総合サービス,1180001037956,,,0,,2026-06-14,,,,,,
株式会社三橋商会,1120001090515,,,0,,2026-06-14,○,https://www.mitsuhashi-net.co.jp/recruit.html,,営業/事務,,top-anchor
株式会社ＦＯＶＡテック,1180001038459,,,0,,2026-06-14,,,,,,
富士ビジネス・マシンズ株式会社,1180001040299,,,0,,2026-06-14,,,,,,
株式会社レタス,1120001092346,,,0,,2026-06-14,○,https://www.letus.co.jp/letus_recruit/,,エンジニア/介護,,top-anchor
株式会社エースベーキング,1180001045182,,,0,,2026-06-14,,,,,,
株式会社宮崎,1180001045546,,,0,,2026-06-14,,,,,,
大阪有機化学工業株式会社,1120001093014,,,0,,2026-06-14,○,https://www.ooc.co.jp/recruit/,,,,top-anchor
株式会社ＯＪＴソリューションズ,1180001051222,,,0,,2026-06-14,,,,,,
ダイナパック株式会社,1180001037535,○,,0,,2026-06-14,○,https://www.dynapac-gr.co.jp/careers/,○,営業/事務,,top-anchor
中央紙器工業株式会社,1180001045224,○,,0,,2026-06-14,○,http://www.mcpack.co.jp/recruit/mid_career/,○,,,top-anchor
株式会社アビリブ,1180001056163,○,,0,,2026-06-14,○,https://www.ab-net.co.jp/recruit,○,エンジニア/営業/企画/デザイナー/マーケティング,,top-anchor
東建コーポレーション株式会社,1180001054828,○,,0,,2026-06-14,○,https://www.token.co.jp/recruit/,○,営業/施工管理/販売/コンサル,,top-anchor
ＮＤＳインフォス株式会社,1180001056171,○,,0,,2026-06-14,○,https://www.nds-infos.co.jp/recruit/,○,介護,,top-anchor
株式会社コモ,1180001075799,,,0,,2026-06-14,,,,,,
岩田食品株式会社,1180001082184,,,0,,2026-06-14,,,,,,
マスプロ電工株式会社,1180001067276,,,0,,2026-06-14,○,https://www.maspro.co.jp/recruit/,,総合職/技術職/企画,,top-anchor
オークマ株式会社,1180001081319,○,,0,,2026-06-14,○,https://www.okuma.co.jp/support/contact/recruit.php,○,営業,okuma-saiyou.jp,top-anchor
東名通信工業株式会社,1180001086061,,,0,,2026-06-14,,,,,,
株式会社リロエクセル,1120001075375,,,0,,2026-06-14,,,,,,no-recruit-link
ＮＫＫスイッチズ株式会社,1020001066839,,,0,,2026-06-14,,,,,,
セントラル総業株式会社,1020001067993,,,0,,2026-06-14,,,,,,
株式会社今仙電機製作所,1180001080700,○,,0,,2026-06-14,○,https://www.imasen.co.jp/recruit/boshu/recruit_boshu/,○,総合職,,top-anchor
東芝電材マーケティング株式会社,1020001063613,,,0,,2026-06-14,○,https://www.tsdm.co.jp/tsdm/recruit/index_j.htm,,営業/マーケティング,,top-anchor
