企業名,法人番号,採用担当者名,融合確度,一致ソース数,クロス検証,寄与ソース,役職,部署,根拠URL,根拠,公式URL,取得日
高島産業株式会社,1100001018476,小口 陽平,0.665,1,,公式HP(自社サイト),代表,,https://www.takashima.co.jp/corporate/profile/,"代表者
代表取締役社長    小口 陽平",https://www.takashima.co.jp/,2026-07-05
株式会社不二レーベル,1030001024936,鷲谷 和彦,0.665,1,,公式HP(自社サイト),代表,,https://www.fuji-label.co.jp/company/,"代表取締役会長
 鷲谷 和彦",https://www.fuji-label.co.jp/,2026-07-05
日本紙管工業株式会社,1120001001389,竹本治男,0.665,1,,公式HP(自社サイト),代表,,https://n-shikan.co.jp/company/,代表取締役社長　竹本治男,https://n-shikan.co.jp/,2026-07-05
山口金属曲板工業株式会社,1120001021940,下村 悠太,0.725,1,,公式HP(自社サイト),代表,,https://www.yamakin-g.com/company.html,代表取締役　下村 悠太,https://www.yamakin-g.com/,2026-07-05
大銑産業株式会社,1120001044933,三好 健司,0.725,1,,公式HP(自社サイト),代表,,https://daisensangyo.co.jp/company.html,"代表者
 代表取締役社長　三好　健司",https://daisensangyo.co.jp/,2026-07-05
株式会社国盛化学,1180001010178,塩谷 陽一,0.765,1,,公式HP(自社サイト),代表,,https://www.stertec.co.jp/~kunimori/recruit/index.html,代表取締役社長　塩谷 陽一,https://www.stertec.co.jp/~kunimori/,2026-07-05
東海物産株式会社,1010001024070,,,,,,,,,,https://www.tokaibsn.co.jp/,2026-07-05
株式会社プリンストン,1010001028443,,,,,,,,,,http://www.princeton.co.jp/,2026-07-05
コムワークスエンジニアリング株式会社,1180001026075,従業員数,0.665,1,,公式HP(自社サイト),代表,,https://www.com-worx.co.jp/profile/,"代表者
従業員数",https://www.com-worx.co.jp/,2026-07-05
山田工業株式会社,1180001021217,三輪 恭裕,0.665,1,,公式HP(自社サイト),代表,,https://www.yamadakg.co.jp/company/philosophy/,代表取締役社長　三輪　恭裕,https://www.yamadakg.co.jp/,2026-07-05
中設エンジ株式会社,1180001031273,富岡,0.735,1,,公式HP(自社サイト),中途採用,人事部,https://www.ce-kk.co.jp/ja/recruit/,人事部　富岡,https://www.ce-kk.co.jp/ja/,2026-07-05
湘南交通株式会社,1020001004022,,,,,,,,,,https://www.shonankotsu.co.jp/,2026-07-05
株式会社高津製作所,1180001006754,,,,,,,,,,https://takatsu-mfg.jp/,2026-07-05
株式会社横浜食品サービス,1020001006943,瀬戸 清,0.725,1,,公式HP(自社サイト),代表,,https://www.yokosyoku.co.jp/company/,代表取締役社長　瀬戸　清,https://www.yokosyoku.co.jp/,2026-07-05
株式会社グリーンメッセージ,1012401024856,,,,,,,,,,http://www.greenmessage.co.jp/,2026-07-05
オートコムジャパン株式会社,1020001052483,浦田 翼,0.705,1,,公式HP(自社サイト),代表,,https://corporate.autocj.co.jp/recruit/about/,代表取締役社長浦田 翼,https://corporate.autocj.co.jp/,2026-07-05
ブリーズベイホテル株式会社,1020001050009,,,,,,,,,,https://breezbay-group.com/bbh/index.html,2026-07-05
藤工業株式会社,1011601007902,藤田 清志,0.765,1,,公式HP(自社サイト),代表,,https://www.fuji-kougyou.jp/seizo_recruit/index.html,"代表取締役社長
 藤田 清志",https://www.fuji-kougyou.jp/,2026-07-05
株式会社キッズフォレ,1020001049133,,,,,,,,,,https://www.kidsfore.co.jp/,2026-07-05
株式会社ホビーベースイエローサブマリン,1030001007742,田中 滋,0.725,1,,公式HP(自社サイト),代表,,https://yellowsubmarine.co.jp/company/,代表者代表取締役　田中　滋,https://www.yellowsubmarine.co.jp/,2026-07-05
株式会社ホンダカーズ埼玉西,1030001026610,中村 善昭,0.725,1,,公式HP(自社サイト),代表,,https://www.hondacars-saitamanishi.co.jp/home/company,"代表者
 中村 善昭",https://www.hondacars-saitamanishi.co.jp/,2026-07-05
株式会社アペックエンジニアリング,1030001015274,縣 小次郎,0.665,1,,公式HP(自社サイト),代表,,https://www.apeceng.co.jp/company/profile.html,代表取締役社長 縣　小次郎,https://www.apeceng.co.jp/,2026-07-05
株式会社ＢＭＬメディカルワークス,1030001058117,澤登 弘明,0.665,1,,公式HP(自社サイト),代表,,https://www.bml-medicalworks.co.jp/company.html,"代表者
代表取締役社長澤登　弘明",https://www.bml-medicalworks.co.jp/,2026-07-05
吉野電化工業株式会社,1030001064965,吉野 正洋,0.725,1,,公式HP(自社サイト),代表,,https://www.yoshinodenka.com/company/offices/asakura-mekki/,"代表者
 
 代表取締役　吉野 正洋",https://www.yoshinodenka.com/,2026-07-05
株式会社ＫＮＤコーポレーション,1030001020142,,,,,,,,,,https://www.bukko-kanda.co.jp/,2026-07-05
関東電設株式会社,1030001054586,,,,,,,,,,http://kanto-d.co.jp/,2026-07-05
千葉県酒類販売株式会社,1040001004623,高山 和夫,0.725,1,,公式HP(自社サイト),代表,,https://chibakensyuhan.co.jp/company/message/,代表取締役社長　髙山 和夫,https://chibakensyuhan.co.jp/,2026-07-05
株式会社プロエイム,1040001013112,松本 忍,0.725,1,,公式HP(自社サイト),代表,,https://www.proaim2.co/business-description,代表取締役　松本 忍,https://www.proaim2.co/,2026-07-05
株式会社舞浜倶楽部,1040001028829,河合 淳,0.725,1,,公式HP(自社サイト),代表,,https://www.maihamaclub.co.jp/company/,"代表者
 
 代表取締役社長　河合　淳",https://www.maihamaclub.co.jp/,2026-07-05
株式会社川和,1040001037961,,,,,,,,,,https://www.kawawa-web.com/,2026-07-05
プライミクス株式会社,1120001035800,野口 隆行が,0.725,1,,公式HP(自社サイト),代表,,https://www.primix.jp/company/history/,野口 隆行が代表取締役,https://www.primix.jp/,2026-07-05
株式会社共進牧場,1140001007161,中尾 嘉延,0.725,1,,公式HP(自社サイト),代表,,https://www.kyoshin-milk.jp/company/,代表取締役社長　中尾 嘉延,http://www.kyoshin-milk.jp/,2026-07-05
豊運輸株式会社,1290001000044,福田 篤,0.725,1,,公式HP(自社サイト),代表,,https://www.yutaka-unyu.co.jp/policy/greeting.html,"代表取締役社長
 福田 篤",https://www.yutaka-unyu.co.jp/,2026-07-05
九州製鋼株式会社,1290001000011,清本邦夫,0.665,1,,公式HP(自社サイト),代表,,https://www.kyushu-steel.com/companyProfile.php,"代表者
代表取締役社長　清本邦夫",https://www.kyushu-steel.com/,2026-07-05
内外ゴム株式会社,1140001009744,,,,,,,,,,https://www.naigai-rubber.co.jp/,2026-07-05
ハッピーハウス株式会社,1290001015827,上村 英輔,0.725,1,,公式HP(自社サイト),代表,,https://www.happy-house.co.jp/portal_company_info/index02.php,代表取締役 上村英輔,https://www.happy-house.co.jp/,2026-07-05
株式会社エヌ・ティ・ティ・データＮＣＢ,1290001005555,小森 義孝,0.725,1,,公式HP(自社サイト),代表,,https://www.nttdata-ncb.co.jp/,"代表取締役社長
 小森 義孝",https://www.nttdata-ncb.co.jp/,2026-07-05
福岡地所株式会社,1290001016156,榎本 一郎,0.725,1,,公式HP(自社サイト),代表,,http://fukuokajisho.com/company/message/,代表取締役社長榎本一郎,http://fukuokajisho.com/,2026-07-05
西鉄エンジニアリング株式会社,1290001009515,,,,,,,,,,https://nishitetsu-eng.jp/,2026-07-05
石上車輌株式会社,1430001043417,石上 剛,0.665,1,,公式HP(自社サイト),代表,,https://www.ishigami.co.jp/company.html,"代表者
 
 代表取締役会長　石上 剛",https://www.ishigami.co.jp/,2026-07-05
株式会社まごころ,1430001033855,,,,,,,,,,https://www.magokorosapporo.com/,2026-07-05
静岡ミツウロコフーズ株式会社,1080001008397,大森 基靖,0.725,1,,公式HP(自社サイト),代表,,https://www.shizuoka-mitsuuroko-foods.com/about/message/,代表取締役社長　大森 基靖,https://www.shizuoka-mitsuuroko-foods.com/,2026-07-05
太陽工業株式会社,1240001006145,永吉 伸光,0.665,1,,公式HP(自社サイト),代表,,https://www.the-taiyo.com/,代表取締役　永吉 伸光,https://www.the-taiyo.com/,2026-07-05
八洲制御システム株式会社,1240001003183,米山 文夫,0.665,1,,公式HP(自社サイト),代表,,https://yashima-cs.co.jp/company/,代表取締役社長 米山　文夫,https://yashima-cs.co.jp/,2026-07-05
株式会社藤伸,1240001007498,越村 哲男,0.665,1,,公式HP(自社サイト),代表,,https://toshin-truck.com/company/overview/,"代表取締役
 越村　哲男",https://toshin-truck.com/,2026-07-05
株式会社ホテルサンバレー,1080101005006,,,,,,,,,,https://izu3800.jp/,2026-07-05
西川物産株式会社,1240001008331,京本 敬二,0.665,1,,公式HP(自社サイト),代表,,https://www.nishikawa-bussan.jp/about/company/,"代表者名
代表取締役社長　京本 敬二",https://www.nishikawa-bussan.jp/,2026-07-05
麒麟倉庫株式会社,1240001036290,香川 林太郎,0.725,1,,公式HP(自社サイト),代表,,https://kirin-warehouse.jp/pages/94/,代表取締役会長　香川 林太郎,https://kirin-warehouse.jp/,2026-07-05
広島精研工業株式会社,1240001022654,吉田 信秀,0.725,1,,公式HP(自社サイト),代表,,https://www.h-seiken.co.jp/company/,"代表者
代表取締役
吉田　信秀",https://www.h-seiken.co.jp/,2026-07-05
株式会社ＬＪＰ,1370001015868,細川 秀元,0.725,1,,公式HP(自社サイト),代表,,https://www.ljp.co.jp/company/index.html,代表取締役　細川　秀元,https://www.ljp.co.jp/,2026-07-05
ケイテック株式会社,1010401182006,藤川 和宏,0.725,1,,公式HP(自社サイト),代表,,https://www.k-technology.co.jp/profile/,"代表取締役社長
藤川 和宏",https://www.k-technology.co.jp/csr/diversity/,2026-07-05
東日本リフトサービス株式会社,1370601000674,武山 東,0.665,1,,公式HP(自社サイト),代表,,https://ejls.jp/company.html,"代表者
 代表取締役　武山　東",https://ejls.jp/,2026-07-05
松本重工業株式会社,1240001026812,加藤 学,0.725,1,,公式HP(自社サイト),代表,,https://matsumoto-jukogyo.co.jp/company/,代表取締役社長　加藤 学,http://matsumoto-jukogyo.co.jp/,2026-07-05
マルタスギヨ株式会社,1110001007288,臼池 忠幸,0.665,1,,公式HP(自社サイト),代表,,https://www.marutafoods.co.jp/gaiyou/,"代表者
 代表取締役社長 臼池 忠幸",https://www.marutafoods.co.jp/gaiyou/,2026-07-05
株式会社スカイパレスアソシエイツ,1370001015661,小坂,0.735,1,,公式HP(自社サイト),採用担当,,https://www.skypalace.co.jp/recruit/application/,採用担当　小坂,https://www.skypalace.co.jp/,2026-07-05
株式会社ロン・リバイス,1110001024374,高橋 一成,0.725,1,,公式HP(自社サイト),代表,,https://lonrevise.net/company-profile/,代表取締役　高橋　一成,https://lonrevise.net/,2026-07-05
平安セレモニー株式会社,1110001019382,青木 省一,0.725,1,,公式HP(自社サイト),代表,,https://www.heian-co.jp/outline/,"代表取締役
 青木 省一",https://www.heian-co.jp/,2026-07-05
株式会社エム・エー・シー．テクノロジー,1110001019928,山口 康秀,0.725,1,,公式HP(自社サイト),代表,,http://www.mac-ltd.co.jp/about/,"代表者
代表取締役　山口　康秀",http://www.mac-ltd.co.jp/,2026-07-05
大平洋特殊鋳造株式会社,2010001021802,國宗正春,0.665,1,,公式HP(自社サイト),代表,,https://www.psc-cast.com/company/profile.html,"代表者
代表取締役社長　國宗正春",https://www.psc-cast.com/,2026-07-05
長野興農株式会社,1100001002257,広田 至誠,0.725,1,,公式HP(自社サイト),代表,,https://www.naganokono.co.jp/company/outline,"代表者
代表取締役社長 広田　至誠",https://www.naganokono.co.jp/,2026-07-05
株式会社ライフケア,1100001004633,竹内 善彦,0.725,1,,公式HP(自社サイト),代表,,https://lifecare-mayu.com/about,"代表取締役社長
 竹内　善彦",https://lifecare-mayu.com/,2026-07-05
鈴与マタイ株式会社,1100001007347,片岡 裕喜,0.725,1,,公式HP(自社サイト),代表,,https://www.newest.ne.jp/about-us/company/,"代表取締役社長
片岡裕喜",http://www.newest.ne.jp/,2026-07-05
株式会社アドヴァンス,2110001001100,,,,,,,,,,http://www.advance-kk.co.jp/,2026-07-05
株式会社熊谷,2110001001744,,,,,,,,,,https://www.kumagai-co.com/,2026-07-05
三協精密株式会社,1100001015382,,,,,,,,,,https://sankyoseimitsu.co.jp/,2026-07-05
ミサワホーム甲信株式会社,1100001024904,,,,,,,,,,https://www.misawa-koushin.jp/,2026-07-05
株式会社ハイライト,1100001018591,,,,,,,,,,https://www.highlight.co.jp/,2026-07-05
エム・ティ・ケー株式会社,1200001000688,松原 健,0.725,1,,公式HP(自社サイト),代表,,https://www.mtk.jp/,代表者:　代表取締役 松原　健,https://www.mtk.jp/,2026-07-05
株式会社サンエイ,1100001024631,安田 英哲,0.725,1,,公式HP(自社サイト),代表,,https://sanei-nt.co.jp/about/,"代表者
代表取締役社長 安田英哲",https://sanei-nt.co.jp/,2026-07-05
株式会社ヨロズサステナブルマニュファクチャリングセンター（閉鎖）,1180001055933,志藤 昭彦,0.665,1,,公式HP(自社サイト),代表,,https://www.yorozu-corp.co.jp/investors/greetings/,"代表取締役会長
 志藤 昭彦",https://www.yorozu-corp.co.jp/,2026-07-05
株式会社松永製作所,1200001015083,和田 集太,0.765,1,,公式HP(自社サイト),採用担当,,https://www.matsunaga-w.co.jp/company/recruit/,採用担当／和田　集太,https://www.matsunaga-w.co.jp/,2026-07-05
株式会社岐阜セラツク製造所,2200001001371,,,,,,,,,,http://www.gifushellac.co.jp/,2026-07-05
株式会社ヤマニパッケージ,2200001005645,田中,0.735,1,,公式HP(自社サイト),人事部,人事部,https://yamani-p.com/recruit,採用担当 田中,https://yamani-p.com/,2026-07-05
三菱電機ホームエレベーター株式会社,1200001019753,,,,,,,,,,https://www.mh-he.co.jp/company/,2026-07-05
株式会社賢島宝生苑,1190001008139,伏見 晋也,0.665,1,,公式HP(自社サイト),代表,,https://www.hojoen.com/about/,"代表者名
 代表取締役社長　伏見 晋也",https://www.hojoen.com/,2026-07-05
住友商事フィナンシャルマネジメント株式会社,1010001012059,西 巻豊,0.725,1,,公式HP(自社サイト),代表,,https://ssfm.co.jp/,代表取締役社長 西巻豊,https://ssfm.co.jp/,2026-07-05
株式会社エッサム,1010001012182,八鍬 昭,0.665,1,,公式HP(自社サイト),代表,,https://www.essam.co.jp/company/company_about.html,"代表取締役会長
 八鍬　昭",https://www.essam.co.jp/,2026-07-05
岐阜精機工業株式会社,2200001001297,福山 利治,0.725,1,,公式HP(自社サイト),代表,,https://www.gifuseiki.co.jp/aboutus/,"代表者
代表取締役社長　福山利治",https://www.gifuseiki.co.jp/,2026-07-05
株式会社津松菱,1190001000698,,,,,,,,,,https://tsu-matsubishi.co.jp/,2026-07-05
ドギーマンハヤシ株式会社,1120001013062,林 雄一,0.725,1,,公式HP(自社サイト),代表,,https://www.doggyman.com/?p=corporate,代表取締役社長　林 雄一,https://www.doggyman.com/,2026-07-05
山下印刷紙器株式会社,1120001026923,山下 修司,0.725,1,,公式HP(自社サイト),代表,,http://www.yamashita-pac.com/company/profile.html,"代表者
代表取締役社長　山下 修司",http://www.yamashita-pac.com/,2026-07-05
常磐共同火力株式会社,1010001024491,柏原 達之,0.665,1,,公式HP(自社サイト),代表,,https://www.joban-power.co.jp/category/profile/affiliated_companies/,"代表取締役
柏原　達之",https://www.joban-power.co.jp/,2026-07-05
カメヤマ株式会社,1120001032418,谷川正士 死去,0.665,1,,公式HP(自社サイト),代表,,https://www.kameyama.co.jp/company/history.html,代表取締役社長 谷川正士 死去,http://www.kameyama.co.jp/,2026-07-05
布目電機株式会社,1180001020581,岡本 武志,0.725,1,,公式HP(自社サイト),代表,,https://www.nunome.co.jp/company/index02.html,"代表取締役
 岡本　武志",https://www.nunome.co.jp/,2026-07-05
ウイズユー株式会社,1040001048901,甲斐 博,0.665,1,,公式HP(自社サイト),代表,,https://withyou-care.co.jp/company/index.html,代表取締役　甲斐　博,https://withyou-care.co.jp/,2026-07-05
双葉メンテナンス工業株式会社,1130001018671,山下 耕平,0.725,1,,公式HP(自社サイト),代表,,https://futaba-mente.com/company/outline.html,"代表者
代表取締役社長 山下耕平",https://futaba-mente.com/,2026-07-05
株式会社はーとふるセゾン,1130001024109,井元 義昭,0.665,1,,公式HP(自社サイト),代表,,https://heartfulsaison.co.jp/company/,"代表取締役
 井元　義昭",https://heartfulsaison.co.jp/,2026-07-05
株式会社メディプラス,1010001224562,,,,,,,,,,https://www.medi-p.jp/,2026-07-05
株式会社こうゆう,1030001002669,,,,,,,,,,https://www.hanamarugroup.jp/,2026-07-05
日清紡マイクロデバイス福岡株式会社,1290001022773,橋 本,0.695,1,,公式HP(自社サイト),代表,,https://www.nisdf.co.jp/%e4%bc%81%e6%a5%ad%e6%83%85%e5%a0%b1/,代表取締役社長 橋　本,https://www.nisdf.co.jp/,2026-07-05
株式会社ニッパ,1010001245419,山口 幸雄,0.725,1,,公式HP(自社サイト),代表,,https://www.kk-nippa.co.jp/company/outline.php,"代表者
 代表取締役社長 山口 幸雄",https://www.kk-nippa.co.jp/,2026-07-05
株式会社サン・ライフ,1290001013517,,,,,,,,,,https://www.sunlife-f.co.jp/,2026-07-05
株式会社ホテルオークラ福岡,1290001016643,,,,,,,,,,https://www.fuk.hotelokura.co.jp/,2026-07-05
ミツイコーポレーション株式会社,1080001005097,三井雄司,0.665,1,,公式HP(自社サイト),代表,,http://www.mitsui-corp.co.jp/company/,代表取締役会長　三井雄司,http://www.mitsui-corp.co.jp/,2026-07-05
株式会社誠和,1240001038196,河本 一志,0.665,1,,公式HP(自社サイト),代表,,https://www.onomichi-seiwa.jp/,"代表者
河本 一志",https://www.onomichi-seiwa.jp/,2026-07-05
柿原工業株式会社,1240001030228,柿原邦博,0.665,1,,公式HP(自社サイト),代表,,https://www.kakihara.co.jp/kakihara/csr/,代表取締役　柿原邦博,https://www.kakihara.co.jp/kakihara/csr/,2026-07-05
明和運送株式会社,1240001011707,武安 哲男,0.665,1,,公式HP(自社サイト),代表,,https://www.meiwaunsou.co.jp/company/message/,代表取締役　武安 哲男,https://www.meiwaunsou.co.jp/,2026-07-05
株式会社光製作所,1200001011421,真鍋 幸嗣,0.665,1,,公式HP(自社サイト),代表,,https://www.hikariss.co.jp/about.html,"代表者
 代表取締役社長　真鍋　幸嗣",https://www.hikariss.co.jp/,2026-07-05
鹿島道路株式会社,1010001001805,名等,0.665,1,,公式HP(自社サイト),代表,,https://www.kajimaroad.co.jp/cooperation/,代表者名等,https://www.kajimaroad.co.jp/,2026-07-05
大鵬薬品工業株式会社,1010001021927,小林 将之,0.725,1,,公式HP(自社サイト),代表,,https://www.taiho.co.jp/company/outline/,"代表者
代表取締役社長　小林　将之",https://www.taiho.co.jp/csr/diverse/,2026-07-05
長野県交通警備株式会社,1100001002265,,,,,,,,,,https://www.nk-keibi.co.jp/,2026-07-05
株式会社デイリートランスポート,1040001018103,田島 聖次,0.725,1,,公式HP(自社サイト),代表,,https://dailytransport-jp.jimdofree.com/,代表取締役　田島　聖次,https://dailytransport-jp.jimdofree.com/,2026-07-05
株式会社ＭＢＭ,1040001029991,小野里 淳一,0.725,1,,公式HP(自社サイト),代表,,https://www.mbm.olc.co.jp/company/,代表取締役社長　小野里 淳一,https://www.mbm.olc.co.jp/sustainability/social/work-style/,2026-07-05
ビューテック株式会社,1140001050005,,,,,,,,,,https://www.vuteq.co.jp/,2026-07-05
株式会社京都勝牛,1130001046227,洪 大記,0.665,1,,公式HP(自社サイト),代表,,https://www.golip-holdings.com/news/241004/,代表者： 代表取締役社長　洪　大記,https://www.golip-holdings.com/,2026-07-05
株式会社コープムービング,1140001001478,中島 寛文,0.725,1,,公式HP(自社サイト),代表,,https://coop-moving.co.jp/about/,代表取締役　中島　寛文,https://coop-moving.co.jp/,2026-07-05
株式会社やまやコミュニケーションズ,1290001017815,山本 正秀,0.725,1,,公式HP(自社サイト),代表,,https://www.yamaya.com/company/overview/,"代表取締役社長
山本 正秀",https://www.yamaya.com/,2026-07-05
株式会社静鉄ストア,1080001002004,業主,0.8,1,,公式HP(自社サイト),人事,,https://www.s-store.co.jp/hotnews/blog/2022/04/05/tokushimaru_info/,人事業主（オーナー）,http://www.s-store.co.jp/,2026-07-05
株式会社遠鉄ストア,1080401000838,宮田 洋,0.725,1,,公式HP(自社サイト),代表,,https://www.entstore.co.jp/company/profile/,代表取締役社長 宮田 洋,https://www.entstore.co.jp/,2026-07-05
株式会社万惣,1240001010923,山本 誠,0.725,1,,公式HP(自社サイト),代表,,https://www.alzo.co.jp/profile,代表取締役山本 誠,https://www.alzo.co.jp/,2026-07-05
株式会社三宝,2110001000052,金子 博信,0.725,1,,公式HP(自社サイト),代表,,https://sanpou-g.co.jp/company/,"代表者
代表取締役社長　金子博信",https://sanpou-g.co.jp/,2026-07-05
株式会社マルイ,1110001025075,清水 辰雄,0.725,1,,公式HP(自社サイト),代表,,https://www.super-marui.com/company/message/,代表取締役社長　清水　辰雄,https://www.super-marui.com/,2026-07-05
リスパック株式会社,2200001005819,大松,0.705,1,,公式HP(自社サイト),代表,,https://www.risu.co.jp/group/company/risu-joint-products/,代表取締役会長　大松,https://www.risu.co.jp/,2026-07-05
株式会社日商,1190001003602,笠井 紀彦,0.725,1,,公式HP(自社サイト),代表,,https://nissyo-net.co.jp/company/,"代表取締役会長
 笠井　紀彦",https://nissyo-net.co.jp/,2026-07-05
