アポ期待度,優先度,確信度,なぜ今なぜこの企業,INT,SIZE,REACH,TIM,TRUST,採点根拠,企業名,法人番号,採用担当者名,役職,部署,代表者名,メール,メール確度,担当者確度,電話番号,公式URL,Tier,取得元媒体,根拠URL,架電呼称,業種,都道府県,従業員数,補助金,設立年,取得日,新卒フラグ,新卒出稿,現在求人掲載中,掲載媒体,掲載媒体数,出稿媒体数,採用中,求人件数,採用予定人数,募集職種数,採用職種,職種,採用ページ有無,採用ページURL,新卒言及,発見媒体,辞退シグナル,採用ページ更新,出稿増,来期検討,プレスリリース,競合ATS導入,ICPランク,セグメント区分,採用担当者名取得元,架電宛名,NG一致名
83,今週架電,73,求人検索で採用中ヒット｜規模110=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,77,100,68,92,80,INT:求人検索で採用中ヒット / INT:募集職種4=選考管理が複雑 / SIZE:規模110=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立55年=継続採用の体力,東名通信工業株式会社,1180001086061,,,,波多野佳明,info@toumei.co.jp,0.4,,059-330-2151,https://www.toumei.co.jp/,C,gBizINFO,https://www.toumei.co.jp/,人事部 ご採用ご担当者様,,愛知県稲沢市天池光田町１００番地３,110,,1971,2026-06-14T18:43:59.953Z,,,,,0,,○,2,,,稲沢市／総務 人事・経理など／完全週休二日制／残業月10h／/NTTグループ取引で安定／企画総務部で経理・総務ポジション／,,,,,求人ボックス,,,,,,,B(100-299),業種空欄(緩め採用),,人事部 ご採用ご担当者様,東名通信工業株式会社
82,今週架電,73,求人検索で採用中ヒット｜規模133=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,72,100,68,92,80,INT:求人検索で採用中ヒット / SIZE:規模133=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立63年=継続採用の体力,岡本興業株式会社,1430001003222,,,,岡本敏秀,info@okamoto.co.jp,0.4,,027-385-5800,https://www.okamoto.co.jp/,C,gBizINFO,https://www.okamoto.co.jp/,人事部 ご採用ご担当者様,砕石業,北海道札幌市南区真駒内本町１丁目１番１号,133,,1963,2026-06-14T18:40:18.141Z,,,,,0,,○,1,,,即日勤務OK 正社員登用有,,,,,求人ボックス,,,,,,,B(100-299),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,岡本興業株式会社
81,今週架電,77,新卒フラグ確定｜規模200=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,88,76,68,92,80,INT:新卒フラグ確定 / SIZE:規模200=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立75年=継続採用の体力,ネクスト・ワン株式会社,1140001043264,,,,新藤英治,,0,,079-421-1111,https://www.next-1.co.jp/,C,gBizINFO,https://www.next-1.co.jp/,人事部 ご採用ご担当者様,各種高圧ガス卸販売,兵庫県加古川市加古川町粟津８０５番地の３,200,,1951,2026-06-14T18:26:44.951Z,○,,,,0,,,,,,,営業/事務,○,https://www.next-1.co.jp/recruit/,○,,,,,,,,B(100-299),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社ネクストワン
81,今週架電,77,新卒フラグ確定｜規模223=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,88,76,68,92,80,INT:新卒フラグ確定 / SIZE:規模223=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立69年=継続採用の体力,国際自動車株式会社,2020001012817,,,,吾妻伸之,info@km-group.co.jp,0.4,,03-5745-5935,https://www.km-group.co.jp/company/group.php,C,gBizINFO,https://www.km-group.co.jp/company/group.php,人事部 ご採用ご担当者様,一般乗用旅客自動車運送事業,神奈川県横浜市南区六ツ川３丁目１３番地の６,223,,1957,2026-06-14T18:28:10.650Z,○,,,,0,,,,,,,,○,https://www.km-group.co.jp/csr/mid-career-recruitment/,○,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,国際自動車株式会社
81,今週架電,77,新卒フラグ確定｜規模209=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,88,76,68,92,80,INT:新卒フラグ確定 / SIZE:規模209=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立73年=継続採用の体力,株式会社イートラスト,1110001022452,,,,酒井龍市,info@etrust.ne.jp,0.4,,03-5246-4531,https://www.etrust.ne.jp/,C,gBizINFO,https://www.etrust.ne.jp/,人事部 ご採用ご担当者様,電気・通信事業を中心とした工事施工やシステムの構築,新潟県長岡市北陽１丁目５３番地５４,209,,1953,2026-06-14T18:32:22.572Z,○,,,,0,,,,,,,,○,https://www.etrust.ne.jp/recruit/,○,,,,,,,,B(100-299),不人気:ソフト通信,,人事部 ご採用ご担当者様,株式会社イー・トラスト
79,今週架電,76,新卒フラグ確定｜規模192=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,88,76,68,92,50,INT:新卒フラグ確定 / SIZE:規模192=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92,高橋カーテンウォール工業株式会社,1010001049480,,,,高橋武治,info@t-cw.co.jp,0.4,,03-3271-1711,https://t-cw.co.jp/,C,gBizINFO,https://t-cw.co.jp/,人事部 ご採用ご担当者様,プレキャストコンクリートカーテンウォールの設計、製造、施工,東京都中央区日本橋本町１丁目５番４号,192,,,2026-06-14T18:25:11.426Z,○,,,,0,,,,,,,事務/マーケティング,○,https://t-cw.co.jp/entry/company/,○,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,高橋カーテンウォール工業株式会社
78,今週架電,72,求人検索で採用中ヒット｜規模214=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,80,76,68,92,80,INT:求人検索で採用中ヒット / INT:募集職種8=選考管理が複雑 / INT:27卒募集を明示 / SIZE:規模214=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立62年=継続採用の体力,株式会社ヒロコーポレーション,2200001008111,,,,伊藤玲子,info@hiro-corp.co.jp,0.4,,058-279-0011,http://www.hiro-corp.co.jp/,C,gBizINFO,http://www.hiro-corp.co.jp/,人事部 ご採用ご担当者様,リネンサプライ業　寝具・衣類のリース,岐阜県岐阜市柳津町上佐波西５丁目３１番地,214,,1964,2026-06-14T18:49:50.283Z,,,,,0,,○,7,,,シーツやタオルのルート配送／営業活動はなし!早番は16:30/「営業事務・CAD事務」／20～30代が中心に活躍中・基本定/剪定・伐採スタッフ 未経験大歓迎 技術を身に付ける! シンプ/正看護師/2027 新卒採用 不動産,,,,,求人ボックス,,,,,,,B(100-299),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社ヒロコーポレーション
73,今週架電,75,新卒フラグ確定｜規模270=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,93,40,68,92,80,INT:新卒フラグ確定 / INT:募集職種3=選考管理が複雑 / SIZE:規模270=中堅(自前管理化が進む) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立62年=継続採用の体力,奥村機械株式会社,1120001155391,,,,奥村弘幸,info@okumura-kikai.co.jp,0.4,,06-6901-7016,https://www.okumura-kikai.co.jp/,C,gBizINFO,https://www.okumura-kikai.co.jp/,人事部 ご採用ご担当者様,建設機械の賃貸・販売・メンテナンス業,大阪府守口市佐太中町２丁目５番３号,270,,1964,2026-06-14T18:28:01.442Z,○,,,,0,,,,,,,営業/事務/販売,○,https://www.okumura-kikai.co.jp/recruit-career/,○,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,奥村機械株式会社
71,今週架電,69,採用ページのみ(代理推定)｜規模137=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,40,100,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模137=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立75年=継続採用の体力,キンセイマテック株式会社,1120001078320,,,,高橋哲彦,info@kinseimatec.co.jp,0.4,,06-6221-0500,https://www.kinseimatec.co.jp/,C,gBizINFO,https://www.kinseimatec.co.jp/,人事部 ご採用ご担当者様,工業用素材原料の製造販売,大阪府大阪市中央区平野町２丁目３番７号,137,,1951,2026-06-14T18:25:39.395Z,,,,,0,,,,,,,エンジニア,○,https://www.kinseimatec.co.jp/recruit/,,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,キンセイマテック株式会社
71,今週架電,69,採用ページのみ(代理推定)｜規模114=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,40,100,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模114=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立22年=継続採用の体力,バルテス・ホールディングス株式会社,1120001107293,,,,兼田中真史,info@valtes-hd.co.jp,0.4,,06-6534-6570,https://www.valtes-hd.co.jp/,C,gBizINFO,https://www.valtes-hd.co.jp/,人事部 ご採用ご担当者様,,大阪府大阪市西区阿波座１丁目３番１５号,114,,2004,2026-06-14T18:27:57.393Z,,,,,0,,,,,,,,○,https://recruit.valtes.co.jp/careers/business/,,,,,,,,,B(100-299),業種空欄(緩め採用),,人事部 ご採用ご担当者様,バルテス・ホールディングス株式会社
65,ナーチャリング,67,採用ページのみ(代理推定)｜規模206=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,40,76,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模206=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立48年=継続採用の体力,ＳＭＦＬレンタル株式会社,1010001114136,,,,大村尚之,info@smfl-r.co.jp,0.4,,03-5226-5020,https://www.smfl-r.co.jp/,C,gBizINFO,https://www.smfl-r.co.jp/,人事部 ご採用ご担当者様,パソコン・ワークステーション等IT機器のリースおよびレンタル、売買、IT機器導入支援・保守等オプションサービス 電子計測,東京都千代田区一ツ橋２丁目１番１号,206,,1978,2026-06-14T18:27:54.130Z,,,,,0,,,,,,,営業/コンサル,○,https://www.smfl-r.co.jp/saiyo/,,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,ＳＭＦＬレンタル株式会社
65,ナーチャリング,67,採用ページのみ(代理推定)｜規模155=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,40,76,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模155=スイート上限超(150-250) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立14年=継続採用の体力,コマツ福島株式会社,2380001021591,,,,苅谷秀行,info@kics.co.jp,0.4,,024-922-2111,https://www.kics.co.jp/,C,gBizINFO,https://www.kics.co.jp/,人事部 ご採用ご担当者様,建設機械および付属品の販売・整備・賃貸,福島県郡山市字下亀田１６番地３,155,,2012,2026-06-14T18:33:55.986Z,,,,,0,,,,,,,営業/販売,○,https://www.kics.co.jp/recruit,,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,コマツ福島株式会社
61,ナーチャリング,74,新卒シグナル無し｜規模100=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,10,100,68,92,80,INT:新卒シグナル無し / SIZE:規模100=スイート(50-150) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立47年=継続採用の体力,株式会社三井Ｅ＆Ｓテクニカルリサーチ,1260001022306,,,,村田和俊,info@mestrc.co.jp,0.4,,086-323-2620,https://mestrc.co.jp/,C,gBizINFO,https://mestrc.co.jp/,人事部 ご採用ご担当者様,1．レーダー調査 2．環境分析、 環境計測、成分分析 3．材料特性評価、非破壊検査、計測 4．損傷原因調査 5．余寿命評,岡山県玉野市玉３丁目１番１号,100,,1979,2026-06-14T18:33:12.229Z,,,,,0,,,,,,,,,,,,,,,,,,B(100-299),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社 三井Ｅ＆Ｓテクニカルリサーチ
59,ナーチャリング,74,新卒シグナル無し｜規模114=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,10,100,60,92,80,INT:新卒シグナル無し / SIZE:規模114=スイート(50-150) / REACH:電話妥当 / TIM:6月=28卒設計期係数92 / TRUST:設立29年=継続採用の体力,株式会社ネクスト,1370201002963,,,,,info@kk-next.com,0.4,,0228-23-8101,https://www.kk-next.com/,D,gBizINFO,https://www.kk-next.com/,人事部 ご採用ご担当者様,半導体製造装置等の精密キャビネットの設計・製造、塗装、組立。,宮城県栗原市築館字城生野入の沢２３番地,114,,1997,2026-06-14T18:59:30.142Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,ネクスト株式会社
57,ナーチャリング,72,新卒シグナル無し｜規模135=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,10,100,60,92,50,INT:新卒シグナル無し / SIZE:規模135=スイート(50-150) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,もりや産業株式会社,1120001016404,,,,,info@moriyas.co.jp,0.4,,06-6969-8030,https://www.moriyas.co.jp/,D,gBizINFO,https://www.moriyas.co.jp/,人事部 ご採用ご担当者様,当社は「包装・物流・環境」に特化した専門会社です。 事業活動の特徴としては、単なる商品の販売だけでなく、お客様の困った！,大阪府大阪市城東区放出西３丁目１０番７号,135,,,2026-06-14T18:52:49.493Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),不人気:運輸物流,,人事部 ご採用ご担当者様,もりや産業株式会社
57,ナーチャリング,72,新卒シグナル無し｜規模140=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,10,100,60,92,50,INT:新卒シグナル無し / SIZE:規模140=スイート(50-150) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,大森電子株式会社,1020001008386,,,,,info@oomori.co.jp,0.4,,045-591-5431,https://www.oomori.co.jp/denshi/,D,gBizINFO,https://www.oomori.co.jp/denshi/,人事部 ご採用ご担当者様,電子機器製造業,神奈川県横浜市都筑区東山田町１番地,140,,,2026-06-14T18:53:52.663Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),不人気:メーカー,,人事部 ご採用ご担当者様,大森電子株式会社
57,ナーチャリング,72,新卒シグナル無し｜規模109=スイート(50-150)｜電話妥当｜6月=28卒設計期係数92,10,100,60,92,50,INT:新卒シグナル無し / SIZE:規模109=スイート(50-150) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,ファミリー引越センター株式会社,1030001021421,,,,,info@505555.co.jp,0.4,,0120-505-555,https://505555.co.jp/,D,gBizINFO,https://505555.co.jp/,人事部 ご採用ご担当者様,運送業（引越）,埼玉県戸田市本町５丁目９番１０号,109,,,2026-06-14T18:54:32.689Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),不人気:運輸物流,,人事部 ご採用ご担当者様,ファミリー引越センター株式会社
51,ナーチャリング,70,新卒シグナル無し｜規模183=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,10,76,60,92,50,INT:新卒シグナル無し / SIZE:規模183=スイート上限超(150-250) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,株式会社清和,1290001001521,,,,,info@seiwa-p.co.jp,0.4,,0120-372-211,https://www.seiwa-p.co.jp/shop/guidance/corporate03.aspx,D,gBizINFO,https://www.seiwa-p.co.jp/shop/guidance/corporate03.aspx,人事部 ご採用ご担当者様,包装資材の企画・製造・販売（パッケージ通販運営会社）,福岡県福岡市南区大楠１丁目２２番２２号,183,,,2026-06-14T18:56:53.445Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),toC:小売,,人事部 ご採用ご担当者様,株式会社清和
51,ナーチャリング,70,新卒シグナル無し｜規模159=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,10,76,60,92,50,INT:新卒シグナル無し / SIZE:規模159=スイート上限超(150-250) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,幸楽輸送株式会社,1430001024020,,,,,info@kouraku-loginet.co.jp,0.4,,011-881-8001,https://www.kouraku-loginet.co.jp/,D,gBizINFO,https://www.kouraku-loginet.co.jp/,人事部 ご採用ご担当者様,道路貨物運送業,北海道札幌市清田区清田一条１丁目１番３３号,159,,,2026-06-14T18:57:42.474Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),不人気:運輸物流,,人事部 ご採用ご担当者様,幸楽輸送株式会社
51,ナーチャリング,70,新卒シグナル無し｜規模239=スイート上限超(150-250)｜電話妥当｜6月=28卒設計期係数92,10,76,60,92,50,INT:新卒シグナル無し / SIZE:規模239=スイート上限超(150-250) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,宮城製粉株式会社,1370101001859,,,,,info@miyagiseifun.jp,0.4,,0223-23-1308,http://www.miyagiseifun.jp/,D,gBizINFO,http://www.miyagiseifun.jp/,人事部 ご採用ご担当者様,食品製造 そうざい製造、菓子製造、食肉製品製造 レトルトカレー、冷凍団子、瓶詰商品、チルド惣菜等の製造販売,宮城県亘理郡亘理町逢隈高屋字堂田４２番１１,239,,,2026-06-14T18:59:22.922Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),toC:メーカー,,人事部 ご採用ご担当者様,宮城製粉株式会社
42,後回し,66,新卒シグナル無し｜規模275=中堅(自前管理化が進む)｜電話妥当｜6月=28卒設計期係数92,10,40,60,92,50,INT:新卒シグナル無し / SIZE:規模275=中堅(自前管理化が進む) / REACH:電話妥当 / TIM:6月=28卒設計期係数92,井桁堂株式会社,1180001023238,,,,,info@igetado.co.jp,0.4,,0565-40-9201,https://www.igetado.co.jp/,D,gBizINFO,https://www.igetado.co.jp/,人事部 ご採用ご担当者様,菓子製造業,愛知県豊田市高岡町松葉１４５番地１,275,,,2026-06-14T18:53:18.478Z,,,,,,,,,,,,,,,,,,,,,,,B(100-299),toC:メーカー,,人事部 ご採用ご担当者様,井桁堂株式会社
45,後回し,74,新卒フラグ確定｜規模5587=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,93,8,68,92,80,INT:新卒フラグ確定 / INT:募集職種3=選考管理が複雑 / SIZE:規模5587=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立79年=継続採用の体力 / NEG:大企業=自前ATS/長期商談,三井物産株式会社,1010001008767,,,,堀健一,info@mitsui.com,0.4,,03-3285-1111,https://www.mitsui.com/jp/ja/index.html,C,gBizINFO,https://www.mitsui.com/jp/ja/index.html,人事部 ご採用ご担当者様,鉄鋼製品、金属資源、エネルギー、プロジェクト、モビリティ、化学品、食料、流通事業、ウェルネス事業、ICT事業、コーポレー,東京都千代田区大手町１丁目２番１号,5587,,1947,2026-06-14T18:23:08.377Z,○,,,,0,,,,,,,企画/販売/コンサル,○,https://www.mitsui.com/jp/ja/careers/mitsuigroup/index.html,○,,,,,,,,C(1000超/大手寄り),不人気:メーカー,,人事部 ご採用ご担当者様,三井物産株式会社
45,後回し,74,新卒フラグ確定｜規模6300=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,93,8,68,92,80,INT:新卒フラグ確定 / INT:募集職種4=選考管理が複雑 / SIZE:規模6300=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立52年=継続採用の体力 / NEG:大企業=自前ATS/長期商談,株式会社コアズ,1180001035761,,,,加藤僚,info@corps.co.jp,0.4,,052-202-0018,https://corps-inc.jp/,C,gBizINFO,https://corps-inc.jp/,人事部 ご採用ご担当者様,警備業・ビルメンテナンス業,愛知県名古屋市中区錦１丁目１６番２０号,6300,,1974,2026-06-14T18:23:59.070Z,○,,,,0,,,,,,,営業/事務/施工管理/販売,○,https://corps-inc.jp/recruit/,○,,,,,,,,C(1000超/大手寄り),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,株式会社コアズ
43,後回し,72,新卒フラグ確定｜規模5445=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,93,8,68,92,50,INT:新卒フラグ確定 / INT:募集職種4=選考管理が複雑 / SIZE:規模5445=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / NEG:大企業=自前ATS/長期商談,東建コーポレーション株式会社,1180001054828,,,,兼左右田善猛,info@token.co.jp,0.4,,0120-518-200,https://www.token.co.jp/,C,gBizINFO,https://www.token.co.jp/,人事部 ご採用ご担当者様,賃貸マンション、アパート、ワンイヤー（家具家電付一年賃貸）、貸店舗等の企画、設計、施工監理ならびに仲介、管理、経営代行業,愛知県名古屋市中区丸の内２丁目１番３３号,5445,,,2026-06-14T18:25:58.030Z,○,,,,0,,,,,,,営業/施工管理/販売/コンサル,○,https://www.token.co.jp/recruit/,○,,,,,,,,C(1000超/大手寄り),セグメント外判定(緩め採用),,人事部 ご採用ご担当者様,東建コーポレーション株式会社
42,後回し,73,新卒フラグ確定｜規模10158=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,88,8,68,92,55,INT:新卒フラグ確定 / SIZE:規模10158=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立2年=若い / NEG:大企業=自前ATS/長期商談,富士ソフト株式会社,2010001246985,,,,室岡光浩,info@fsi.co.jp,0.4,,045-650-8811,https://www.fsi.co.jp/,C,gBizINFO,https://www.fsi.co.jp/,人事部 ご採用ご担当者様,業務システム開発・組み込み系ソフト開発 ・アウトソーシング・プロダクト＆サービス他,神奈川県横浜市中区桜木町１丁目１番地,10158,,2024,2026-06-14T18:28:10.055Z,○,,,,0,,,,,,,営業,○,https://www.fsi.co.jp/recruit/,○,,,,,,,,C(1000超/大手寄り),不人気:ソフト通信,,人事部 ご採用ご担当者様,富士ソフト株式会社
41,後回し,72,新卒フラグ確定｜規模4024=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,88,8,68,92,50,INT:新卒フラグ確定 / SIZE:規模4024=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / NEG:大企業=自前ATS/長期商談,株式会社トーホー,1140001002071,,,,奥野邦治,info@to-ho.co.jp,0.4,,078-845-2400,https://www.to-ho.co.jp/,C,gBizINFO,https://www.to-ho.co.jp/,人事部 ご採用ご担当者様,㈱トーホー ・各事業会社の経営管理 ・業務用食品の仕入・調達・開発、業務用コーヒーの製造 ㈱トーホーフードサービス／㈱ト,兵庫県神戸市東灘区向洋町西５丁目９番,4024,,,2026-06-14T18:24:35.210Z,○,,,,0,,,,,,,,○,https://www.to-ho.co.jp/recruit.html,○,,,,,,,,C(1000超/大手寄り),toC:サービス,,人事部 ご採用ご担当者様,株式会社トーホー
40,後回し,66,求人検索で採用中ヒット｜規模1961=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,77,8,68,92,80,INT:求人検索で採用中ヒット / INT:募集職種6=選考管理が複雑 / SIZE:規模1961=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立48年=継続採用の体力 / NEG:大企業=自前ATS/長期商談,アース環境サービス株式会社,1010001009823,,,,田渕徹,info@earth.jp,0.4,,0120-816-456,https://www.earth.jp/,C,gBizINFO,https://www.earth.jp/,人事部 ご採用ご担当者様,,東京都中央区晴海４丁目７番４号,1961,,1978,2026-06-14T18:37:46.103Z,,,,,0,,○,17,,,事務 一般事務／外勤業務 土日休み／残業ほぼなし／時短勤務O/「技術営業／北海道」総合環境衛生管理工場の品質サポート/「技術営業／静岡」総合環境衛生管理工場の品質サポート/提案営業 未経験歓迎 衛生環境の改善に寄与／アース・大塚グル/「技術営業／茨城」総合環境衛生管理工場の品質サポート,,,,,求人ボックス,,,,,,,C(1000超/大手寄り),業種空欄(緩め採用),,人事部 ご採用ご担当者様,アース環境サービス株式会社
40,後回し,66,求人検索で採用中ヒット｜規模2301=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,77,8,68,92,80,INT:求人検索で採用中ヒット / INT:募集職種5=選考管理が複雑 / SIZE:規模2301=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立66年=継続採用の体力 / NEG:大企業=自前ATS/長期商談,ハーベスト株式会社,1020001010441,,,,脇本実,info@harvest-corp.co.jp,0.4,,045-336-1100,https://www.harvest-corp.co.jp/,C,gBizINFO,https://www.harvest-corp.co.jp/,人事部 ご採用ご担当者様,,神奈川県横浜市保土ケ谷区岩間町２丁目１２０番地,2301,,1960,2026-06-14T18:39:15.157Z,,,,,0,,○,25,,,学校給食調理場での配送/人事労務DX担当/「有資格」栄養士／給食委託／赤塚駅/調理師／介護施設／集団調理経験者歓迎／給食委託会社/調理師／高齢者向け住宅／調理／給食委託会社／年休112日,,,,,求人ボックス,,,,,,,C(1000超/大手寄り),業種空欄(緩め採用),,人事部 ご採用ご担当者様,ハーベスト株式会社
38,後回し,65,求人検索で採用中ヒット｜規模1080=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,77,8,68,92,50,INT:求人検索で採用中ヒット / INT:募集職種6=選考管理が複雑 / SIZE:規模1080=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / NEG:大企業=自前ATS/長期商談,オイレス工業株式会社,1010401006049,,,,坂入良和,info@oiles.co.jp,0.4,,03-5435-5461,https://www.oiles.co.jp/,C,gBizINFO,https://www.oiles.co.jp/,人事部 ご採用ご担当者様,,神奈川県藤沢市桐原町８番地,1080,,,2026-06-14T18:39:04.930Z,,,,,0,,○,8,,,自動車部品の営業～東証プライム上場／経常利益率9.1%／年間/足利／組立・工程管理 交代勤務／年休127日／地震から人と建/藤沢 エアベアリング／設計開発 国内シェアトップ／週2定時退/宇都宮 法人営業／自動車業界向け プライム上場／ニッチトップ/藤沢 国内トップメーカー／働き易さが魅力,,,,,求人ボックス,,,,,,,C(1000超/大手寄り),業種空欄(緩め採用),,人事部 ご採用ご担当者様,オイレス工業株式会社
27,後回し,58,採用ページのみ(代理推定)｜規模4072=大企業(自前/競合ATS濃厚)｜電話妥当｜6月=28卒設計期係数92,40,8,68,92,80,INT:採用ページのみ(代理推定) / SIZE:規模4072=大企業(自前/競合ATS濃厚) / REACH:電話妥当 / REACH:代表者名のみ / TIM:6月=28卒設計期係数92 / TRUST:設立47年=継続採用の体力 / NEG:大企業=自前ATS/長期商談,株式会社共立メンテナンス,1010001014427,,,,中村幸治,info@kyoritsugroup.co.jp,0.4,,03-5295-7777,https://www.kyoritsugroup.co.jp/,C,gBizINFO,https://www.kyoritsugroup.co.jp/,人事部 ご採用ご担当者様,（1）学生寮・社員寮・ワンルームマンション事業 （2）ホテル事業 （3）シニアライフ事業 （4）その他前号に附帯する事業,東京都千代田区外神田２丁目１８番８号,4072,,1979,2026-06-14T18:23:19.508Z,,,,,0,,,,,,,,○,https://www.kyoritsugroup.co.jp/en/recruit/,,,,,,,,,C(1000超/大手寄り),toC:サービス,,人事部 ご採用ご担当者様,株式会社共立メンテナンス
